"field_date","site_reach","site","reach","green_algae","microcoleus","anabaena_cylindrospermum","bare_biofilm","other_nfixers","micro_transects","ana_cyl_transects","total_transects","proportion_micro_transects","proportion_ana_cyl_transects","proportion_riffle_rapid_transects","average_depth_cm_sampled","median_depth_cm_sampled","time","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATXa_ug_g","TM_dhATXa_ug_g","TM_HTXa_ug_g","TM_ATX_all_ug_g","TM_Chla_ug_g","TM_Pheo_ug_g","TM_percent_organic_matter","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATXa_ug_g","TAC_dhATXa_ug_g","TAC_HTXa_ug_g","TAC_ATX_all_ug_g","TAC_Chla_ug_g","TAC_Pheo_ug_g","TAC_percent_organic_matter","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g","year","TM_Chla_Pheo_ratio","TAC_Chla_Pheo_ratio"
2022-06-24,"RUS-1S","RUS","1S",38.1818181818182,0,0,61.8181818181818,0,0,0,11,0,0,0,NA,NA,"18:00",NA,24.82,9.052,NA,5.026,0.016,0.00253,8.07,17.82,2.994,7.5,14.45,0.11,11.17,1.23,16.45,11.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-06,"RUS-1S","RUS","1S",20,0,0,80,0,0,0,11,0,0,0,42,45,"11:15",NA,21.4,9.181,266.1,11.092,0.008,0.00637,8.07,24.45,3.858,5.6,10.2,0.09,8.17,0.97,12.4,11.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-20,"RUS-1S","RUS","1S",48.0909090909091,0,0.181818181818182,51.7272727272727,0,0,6,11,0,0.545454545454545,0,40.3636363636364,32,"10:00",NA,22.22,9.587,265.7,7.841,0.017,0.00625,8.07,19.15,2.066,6.92,12.31,0.11,10.43,1.16,15.15,12.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2963.28018265358,411.743496902954,26.61,0,0,2022,NA,7.19690828135171
2022-08-02,"RUS-1S","RUS","1S",59.6363636363636,0,0.272727272727273,40.0909090909091,0,0,5,11,0,0.454545454545455,0,42.1818181818182,41,"09:45",8.07,21.8,8.493,251.5,6.961,0.009,0.00484,8.07,24.76,2.299,6.48,11.66,0.1,9.96,1.16,14.76,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.113,0.113,3661.8982348506,1107.40013371711,38.1,3.09e-05,0.2965879,2022,NA,3.30675256698682
2022-08-17,"RUS-1S","RUS","1S",95.4545454545455,0,1.63636363636364,2.90909090909091,0,0,9,11,0,0.818181818181818,0,40.5454545454545,39,"09:45",8.22,22.7,8.052,261.1,6.912,0.016,0.03339,8.22,23.23,2.429,6.55,11.43,0.13,10.01,1.14,14.42,14.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3921.18343166071,979.220714156785,25.14,0,0,2022,NA,4.00439183421204
2022-09-01,"RUS-1S","RUS","1S",46.7272727272727,0,7.45454545454545,45.8181818181818,0,0,11,11,0,1,0,41.8181818181818,40,"10:00",8.03,20.53,8.643,235.3,8.68,0.009,0.00842,8.03,18.58,1.889,6.41,11.25,0.08,9.92,1.13,14.39,15.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.292,0,0.292,1468.9656607943,628.743250031739,22.61,0.0001988,1.291464,2022,NA,2.33635217669557
2022-09-15,"RUS-1S","RUS","1S",40.9090909090909,0,2.36363636363636,56.7272727272727,0,0,9,11,0,0.818181818181818,0,43,43,"09:45",7.98,18.757,8.853,NA,10.95,0.011,0.00783,7.98,20.66,1.924,6.25,10.82,0.12,9.8,1.14,14.1,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.526,0,0.989,2757.72885104398,520.894459648726,23.552,0.0003586,4.1992188,2022,NA,5.29421805120312
2022-07-06,"RUS-2","RUS","2",46.3636363636364,0,0,53.6363636363636,0,0,0,11,0,0,0,44.5454545454545,50,"15:00",NA,22.84,9.346,267.2,6.807,0.0095,0.0057,8.25,21.89,2.279,7.15,12.98,0.12,10.63,1.17,15.57,12.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-20,"RUS-2","RUS","2",59.4545454545455,0,0,40.5454545454545,0,0,3,11,0,0.272727272727273,0,44.9090909090909,49,"13:30",NA,23.75,9.567,267.8,9.59,0.009,0.00411,8.25,21.59,2.118,6.84,12.14,0.11,10.37,1.17,15.08,13.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2984.96562184583,528.685154188619,36.83,0,0,2022,NA,5.64601747977376
2022-08-02,"RUS-2","RUS","2",56.0909090909091,0,0,43.9090909090909,0,0,3,11,0,0.272727272727273,0,47.0909090909091,51,"14:00",8.25,23.41,9.734,255.9,9.735,0.01,0.01246,8.25,23.05,2.26,6.33,11.35,0.1,9.75,1.15,14.62,9.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4418.2446809663,403.885382539805,31.14,0,0,2022,NA,10.9393527767271
2022-08-17,"RUS-2","RUS","2",43.4545454545455,0,0.0909090909090909,56.4545454545455,0,0,6,11,0,0.545454545454545,0,46,44,"14:00",8.27,23.53,9.426,262.6,9.835,0.015,0.01541,8.27,21.52,2.416,6.54,11.62,0.14,10.08,1.13,14.24,18.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3093.79500632274,486.351700213401,28.63,0,0,2022,NA,6.36122995964699
2022-09-01,"RUS-2","RUS","2",35,0,5,60,0,0,4,11,0,0.363636363636364,0,41.5454545454545,45,"15:00",8.27,22.69,9.426,241.7,8.5965,0.01,0.00747,8.27,16.87,1.8245,5.385,9.385,0.09,8.285,0.975,12.41,12.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.17,0,0.17,2029.19204182806,557.204242450256,24.22,8.38e-05,0.7018993,2022,NA,3.64173832005454
2022-09-15,"RUS-2","RUS","2",32.1818181818182,0,3.72727272727273,64.0909090909091,0,0,6,11,0,0.545454545454545,0,40.7272727272727,35,"13:45",8.19,19.924,10.005,NA,11.203,0.012,0.00885,8.19,21.76,2.06,5.91,10.45,0.12,9.29,1.08,13.5,15.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1604.47878335661,614.331345685896,20.14,0,0,2022,NA,2.61174819521088
2022-07-07,"RUS-3","RUS","3",40.4545454545455,0,0,59.5454545454545,0,0,0,11,0,0,0.181818181818182,36.6363636363636,37,"16:00",NA,23.76,11.759,267.1,9.202,0.012,0.006,8.4,23.3,2.893,7.15,12.93,0.13,10.61,1.13,14.97,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-20,"RUS-3","RUS","3",55.2727272727273,0,0,44.7272727272727,0,0,4,11,0,0.363636363636364,0.363636363636364,40.4545454545455,46,"15:30",NA,24.68,11.067,266.2,9.796,0.009,0.00245,8.4,19.84,2.171,6.84,12.19,0.13,10.37,1.18,14.77,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3299.08397733518,400.976823586325,37.71,0,0,2022,NA,8.22761761597159
2022-08-02,"RUS-3","RUS","3",63.4545454545455,0,0,36.5454545454545,0,0,5,11,0,0.454545454545455,0.272727272727273,43,50.5,"15:45",8.4,24.27,13.04,255.9,7.386,0.007,0.00721,8.4,20.09,2.391,6.25,11.25,0.1,9.67,1.15,14.35,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4091.49488127995,827.645721928693,31.81,0,0,2022,NA,4.94353413891319
2022-08-17,"RUS-3","RUS","3",48.1818181818182,0,0,51.8181818181818,0,0,5,11,0,0.454545454545455,0.272727272727273,39.8181818181818,37,"16:15",8.53,24.33,10.854,236.8,6.809,0.02,0.00691,8.53,21.42,2.102,6.46,11.24,0.12,9.83,1.11,13.99,13.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.239,0,0.239,4883.71266422706,590.170937597246,33.33,4.89e-05,0.7170717,2022,NA,8.27508159603732
2022-09-01,"RUS-3","RUS","3",51,0,2.27272727272727,46.7272727272727,0,0,3,11,0,0.272727272727273,0.272727272727273,40,45,"17:15",8.56,22.8,10.743,239.6,8.284,0.011,0.00484,8.56,19.44,2.101,6.38,11.15,0.11,9.81,1.15,14.5,11.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377,0.964,0,1.341,1842.94613041894,653.905526281404,25.22,0.0007276,5.3172086,2022,NA,2.81836757199363
2022-09-15,"RUS-3","RUS","3",36.8181818181818,0,0.0909090909090909,63.0909090909091,0,0,4,11,0,0.363636363636364,0.363636363636364,37.6363636363636,44,"16:15",8.36,20.066,11.202,NA,9.421,0.019,0.007685,8.36,19.33,2.061,6.18,10.55,0.12,9.73,1.13,13.79,14.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,0.1683,0,0.4603,1725.72259517701,641.846897710919,21.58,0.0002667,2.1329935,2022,NA,2.68868261470395
2022-06-27,"SAL-1S","SAL","1S",0,0,0,100,0,0,0,11,0,0,0,NA,NA,"10:30",NA,19.81,9.442,NA,7.768,0.0145,0.01313,7.72,6.516,2.913,0.52,1.65,0.02,1.02,0.32,1.88,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-12,"SAL-1S","SAL","1S",2.18181818181818,7.72727272727273,0,90.0909090909091,0,8,0,11,0.727272727272727,0,0.454545454545455,44.0909090909091,46,"07:30",NA,20.52,8.904,108.5,6.4415,0.026,0.01409,7.72,11.88,3.565,1.06,3.86,0.005,2.39,0.68,3.43,16.76,0,0,0,0,4926.0900162699,96.3532590070105,45.942,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,51.1253077170071,NA
2022-07-26,"SAL-1S","SAL","1S",12.6,27.7,0,59.7,0,8,0,10,0.8,0,0.3,40.2,40.5,"07:00",NA,21.41,8.59,121.2,7.264,0.011,0.00743,7.72,10.64,1.096,1.42,4.09,0.05,2.85,0.8,3.89,16.94,0,0,0.0683,0.0683,5046.58581450883,170.198376743096,60.36,1.35e-05,0.1131544,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,29.6511982727446,NA
2022-09-22,"SAL-1S","SAL","1S",69.0909090909091,0,0,30.9090909090909,0,0,0,11,0,0,0.363636363636364,39.4545454545455,36,"08:00",7.72,16.59,NA,124,8.037,0.009,0.00876,7.72,9.426,0.3502,1.55,3.02,0.05,2.24,0.6,3.15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-12,"SAL-2","SAL","2",0,3.18181818181818,0,96.8181818181818,0,6,0,11,0.545454545454545,0,0.363636363636364,30.6363636363636,30,"11:45",NA,21.64,9.171,110.6,5.8,0.024,0.01026,8.35,7.347,0.7916,1.09,3.73,0.05,2.48,0.73,3.49,14.36,0,0,0,0,4582.28623740764,138.070218114172,48.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,33.1880857435779,NA
2022-07-26,"SAL-2","SAL","2",0.545454545454545,13.2727272727273,0,86.1818181818182,0,9,0,11,0.818181818181818,0,0.181818181818182,33.7272727272727,36,"09:45",NA,21.52,9.069,120.6,5.851,0.011,0.008085,8.35,9.362,1.025,1.41,3.72,0.03,2.82,0.81,4.24,12.33,0,0,0,0,3762.42361521675,173.326779458521,43.99,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,21.7071108513681,NA
2022-09-22,"SAL-2","SAL","2",57.9090909090909,0,0,42.0909090909091,0,0,0,11,0,0,0.363636363636364,28.9090909090909,32,"14:45",8.35,18.25,NA,125.5,4.9905,0.014,0.01177,8.35,8.67,0.5491,2.27,4.47,0.05,3.32,0.91,4.43,13.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-06-27,"SAL-3","SAL","3",0,0,0,100,0,0,0,11,0,0,0,NA,NA,"14:30",NA,20.49,9.492,NA,7.795,0.031,0.00797,8.11,8.974,2.688,0.9,3.44,0.06,2.24,0.65,3.05,16.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-07-12,"SAL-3","SAL","3",0.363636363636364,1.36363636363636,0,98.2727272727273,0,2,0,11,0.181818181818182,0,0,49.0909090909091,50,"14:45",NA,22.59,9.087,113.3,6.9675,0.019,0.01374,8.11,10.72,2.31,1.11,3.64,0.05,2.46,0.74,3.58,13.34,0,0,0,0,6410.15787542345,37.9092324765811,75.83,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,169.092262139135,NA
2022-07-26,"SAL-3","SAL","3",0.0909090909090909,5.90909090909091,0,94,0,4,0,11,0.363636363636364,0,0,45,44,"11:30",NA,22.13,9.215,121.5,5.63,0.008,0.00792,8.11,12.95,0.5312,1.37,3.69,0.005,2.78,0.81,3.84,15.87,0,0,0,0,5239.13970595773,220.122993239407,66.93,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,23.8009652188384,NA
2022-09-22,"SAL-3","SAL","3",40,0,0.0909090909090909,59.9090909090909,0,0,4,11,0,0.363636363636364,0,41.4545454545455,43,"11:30",8.11,17.33,NA,123.3,5.684,0.0135,0.01223,8.11,9.778,0.48925,1.775,3.455,0.045,2.615,0.69,3.535,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2249.71562608797,1155.62040282648,38.501,0,0,2022,NA,1.94676004385652
2022-06-29,"SFE-M-1S","SFE-M","1S",4.36363636363636,0.636363636363636,0,91.8181818181818,3.18181818181818,4,0,11,0.363636363636364,0,0.363636363636364,42.1818181818182,40,"09:45",NA,20.33,8.374,NA,5.8015,0.011,0.00731,8.9,17.54,3.287,5.39,9.76,0.07,8.56,0.88,9.76,9.75,0,0,0,0,6407.82431441923,143.752054584299,18.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,44.5755320363895,NA
2022-07-14,"SFE-M-1S","SFE-M","1S",23.3636363636364,0,0.909090909090909,69.4545454545455,6.27272727272727,1,3,11,0.0909090909090909,0.272727272727273,0.454545454545455,31.9090909090909,31,"09:45",NA,21.71,9.507,223.3,5.353,0.017,0.00463,8.9,16.17,0.7605,6.04,10.78,0.1,9.37,0.93,9.77,18.02,0,0,0,0,5753.53875355326,35.1976523205971,76.19,0,0,0.781,0,0,0.781,3234.07962958796,963.076998443193,38.33,0.0002415,2.0375685,2022,163.463707782192,3.35806964013867
2022-07-28,"SFE-M-1S","SFE-M","1S",27.4545454545455,1,8.90909090909091,61.7272727272727,0.909090909090909,5,11,11,0.454545454545455,1,0.454545454545455,28.7272727272727,28,"10:00",8.9,24.49,9.364,216.4,3.901,0.006,0.00291,8.9,16.2,0.751,6.57,11.04,0.11,9.56,0.97,8.87,19.96,0.4097,0,0,0.4097,3895.20636872598,440.031032087626,63.99,0.0001052,0.6402563,4.4737,0.61,0,5.0837,7154.80398129149,1436.09982656204,46.28,0.0007105,10.9846586,2022,8.85211742964143,4.98210768426856
2022-08-10,"SFE-M-1S","SFE-M","1S",46.9090909090909,6.63636363636364,2.36363636363636,42.4545454545455,1.63636363636364,11,9,11,1,0.818181818181818,0.454545454545455,25.9090909090909,24,"09:30",8.55,21.81,8.855,230.6,3.7375,0.0325,0.04816,8.55,16.18,4.512,7.12,10.78,0.3,9.96,1.1,10.26,10.57,3.754,0.611,0,4.365,9094.64306210352,70.2173943441885,71.795,0.00048,6.0798106,72.138,21.935,0,94.073,8522.11664931474,793.773801365911,60.6,0.0110387,155.2359736,2022,129.52122685618,10.736202977032
2022-08-23,"SFE-M-1S","SFE-M","1S",53.9090909090909,2.72727272727273,0,42.9090909090909,0.454545454545455,4,0,11,0.363636363636364,0,0.454545454545455,21.7272727272727,20,"11:15",8.75,24.2,8.693,243.8,4.229,0.015,0.00766,8.75,23.04,0.8755,7.57,11.48,0.09,10.42,1.11,10.6,22.68,0.7723,0.3283,0,1.1006,12128.8079464221,251.428293972445,73.95,9.07e-05,1.4883029,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,48.2396302929667,NA
2022-09-06,"SFE-M-1S","SFE-M","1S",56.1818181818182,10.4545454545455,0.0909090909090909,32.3636363636364,0.909090909090909,5,3,11,0.454545454545455,0.272727272727273,0.454545454545455,22.7272727272727,18,"09:45",8.17,22.466,7.399,NA,6.473,0.024,0.00868,8.17,16.7,0.6444,7.92,11.66,0.1,10.52,1.11,11.1,15.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2227.16683129192,673.366466376277,45.34,0,0,2022,NA,3.30751075751874
2022-09-17,"SFE-M-1S","SFE-M","1S",51.2727272727273,11.3636363636364,2.45454545454545,34.4545454545455,0.454545454545455,8,7,11,0.727272727272727,0.636363636363636,0.454545454545455,21.5454545454545,21,"09:30",7.97,19.96,7.813,251.2,5.342,0.023,0.00694,7.97,19.63,0.4319,8.26,11.55,0.09,10.64,1.09,12.03,11.13,1.877,0.411,0,2.288,5867.9352594907,706.779257420591,69.72,0.0003899,3.2816982,0,0,0,0,1736.66133536954,1111.82134046819,45.88,0,0,2022,8.30235918482651,1.56199676347121
2022-06-29,"SFE-M-3","SFE-M","3",15.9090909090909,0.272727272727273,0,81.3636363636364,2.45454545454545,6,0,11,0.545454545454545,0,0.363636363636364,53.6363636363636,50,"13:45",NA,23.6,9.793,NA,5.812,0.011,0.00788,8.88,14.29,1.194,5.67,10.87,0.005,9.12,0.91,9.73,17.5,0,0,0,0,7984.72078972217,93.8230409841889,18.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,85.1040501987967,NA
2022-07-14,"SFE-M-3","SFE-M","3",40,1.81818181818182,0.909090909090909,53,4.27272727272727,3,5,11,0.272727272727273,0.454545454545455,0.363636363636364,43.7272727272727,42,"13:30",NA,23.63,10.255,229.6,4.093,0.011,0.00516,8.88,11.9,0.5737,6.29,10.61,0.09,9.43,0.96,9.83,14.86,0,0,0,0,7984.72078972217,NA,57.47,0,0,0.542,0.0693,0,0.6113,3517.8469892189,1162.42473948808,31.74,0.0001738,1.9259609,2022,NA,3.02630086036204
2022-07-28,"SFE-M-3","SFE-M","3",42.1818181818182,1.54545454545455,24.1818181818182,31.5454545454545,0.545454545454545,4,10,11,0.363636363636364,0.909090909090909,0.363636363636364,37.1818181818182,34,"14:15",8.88,25.83,10.77,216.9,5.73,0.006,0.00335,8.88,18.55,0.9554,6.61,10.53,0.005,9.6,1,9.02,18.11,0,0,0,0,8896.93867753363,86.6011493829818,70.78,0,0,4.279,0.44,0,4.719,8248.48141445624,1348.80755624819,49.017,0.0005721,9.6272722,2022,102.734648915433,6.11538790411289
2022-08-10,"SFE-M-3","SFE-M","3",67.8181818181818,0.909090909090909,0.272727272727273,29.3636363636364,1.63636363636364,4,5,11,0.363636363636364,0.454545454545455,0.363636363636364,38.2727272727273,29,"14:15",8.63,24.71,10.236,240.3,3.68,0.028,0.06271,8.63,14.49,2.551,7,10.46,0.08,9.94,1.02,10.08,12.11,0.384,0.251,0,0.635,9451.4240059212,20.5750638236494,79.45,6.72e-05,0.7992448,1.894,0.151,0,2.045,5553.04235694961,677.695569420401,46.4,0.0003683,4.4073276,2022,459.363046789558,8.19400717301258
2022-08-23,"SFE-M-3","SFE-M","3",57.1818181818182,3.18181818181818,0,39.6363636363636,0,3,1,11,0.272727272727273,0.0909090909090909,0.272727272727273,35,32,"14:00",8.62,24.71,9.626,248.4,3.8,0.018,0.00769,8.62,19.07,0.6235,7.58,11.34,0.1,10.45,1.12,10.78,16.43,0.861,0,0,0.861,9084.64286754923,428.651918090983,71.795,9.48e-05,1.1992479,0.601,0.178,0,0.779,4303.94992427735,804.286940468409,45.87,0.000181,1.6982777,2022,21.1935196931068,5.35126172976372
2022-09-06,"SFE-M-3","SFE-M","3",43.1818181818182,1.81818181818182,0,54.4545454545455,0.545454545454545,4,0,11,0.363636363636364,0,0.272727272727273,32.5454545454545,24,"14:30",8.47,24.115,9.223,NA,6.4115,0.014,0.006595,8.47,18.77,0.54,3.46,5.16,0.05,4.46,0.47,5.85,13.53,0.198,0.132,0,0.33,8003.00740759614,241.753703028422,63.584,4.12e-05,0.5189985,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,33.1039703108716,NA
2022-09-17,"SFE-M-3","SFE-M","3",14.1818181818182,12,0,73.1818181818182,0.636363636363636,4,0,11,0.363636363636364,0,0.363636363636364,31.0909090909091,30,"14:00",8.37,19.66,9.033,246.7,5.058,0.015,0.00769,8.37,15.68,0.4455,8.49,11.77,0.11,10.71,1.17,11.19,17.53,0.3467,0.1333,0,0.48,9191.61981891121,467.429635388257,76.34,5.22e-05,0.628766,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,19.664178569415,NA
2022-06-29,"SFE-M-4","SFE-M","4",10.1818181818182,0,0,88.5454545454545,1.27272727272727,4,0,11,0.363636363636364,0,0,50.9090909090909,57,"16:30",NA,25.43,10.132,NA,7.008,0.013,0.005,9.14,19.32,2.451,5.78,10.8,0.1,9.23,0.93,9.88,16.51,0,0,0,0,4894.78335918051,30.0269388954029,18.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,163.013065575256,NA
2022-07-14,"SFE-M-4","SFE-M","4",40,0,0.272727272727273,58.0909090909091,1.63636363636364,0,9,11,0,0.818181818181818,0,48.4545454545455,51,"16:00",NA,25.72,11.059,236.2,6.021,0.017,0.00447,9.14,18.16,0.7703,6.16,10.64,0.1,9.38,0.95,9.77,15.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228,0,0,0.228,2793.42850439403,1126.91458205527,36.87,8.16e-05,0.6183889,2022,NA,2.478828962617
2022-07-28,"SFE-M-4","SFE-M","4",38.1818181818182,0,25.9090909090909,34.8181818181818,1.09090909090909,0,11,11,0,1,0,45.7272727272727,43,"17:00",9.14,28.48,9.673,218.7,3.503,0.005,0.00338,9.14,18.47,1.037,6.64,10.84,0.09,9.65,0.98,9.17,14.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5993,0.782,0,5.3813,7736.04558314054,1349.27478259642,48.31,0.0006956,11.1391016,2022,NA,5.73348415231922
2022-08-10,"SFE-M-4","SFE-M","4",52.1818181818182,5,3.18181818181818,38.5454545454545,1.09090909090909,9,11,11,0.818181818181818,1,0,46.3,50,"17:30",8.92,27.1,11.405,239.4,3.996,0.027,0.009035,8.92,15.7,0.6784,7.09,10.95,0.09,10.14,1.06,10.25,14.93,69.894,32.293,0,102.187,5310.07858543501,1071.60310097627,43.11,0.019244,237.0378103,32.582,11.15,0,43.732,3005.42385066444,1040.92706012453,45.61,0.014551,95.8824819,2022,4.95526616206815,2.88725691337575
2022-08-23,"SFE-M-4","SFE-M","4",25.5454545454545,1.36363636363636,0.909090909090909,71.1818181818182,1,1,1,11,0.0909090909090909,0.0909090909090909,0,45.4545454545455,51,"16:15",8.85,27.38,11.773,236.8,4.2415,0.023,0.007965,8.85,14.935,0.67675,6.7,9.725,0.075,9.04,0.965,9.845,10.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-09-06,"SFE-M-4","SFE-M","4",16.3636363636364,0,0,78.8181818181818,4.81818181818182,0,0,11,0,0,0,45.9090909090909,50,"16:30",8.74,27.42,11.245,NA,5.307,0.028,0.0112,8.74,17.99,0.7294,7.77,11.25,0.1,10.22,1.14,10.99,14.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
2022-09-17,"SFE-M-4","SFE-M","4",15.0909090909091,0,0,81.7272727272727,3.18181818181818,0,0,11,0,0,0,39.9090909090909,42,"16:00",8.53,20.64,10.759,248.6,4.968,0.017,0.01033,8.53,18.44,0.5118,8.23,11.84,0.11,10.6,1.05,11.24,17.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA
